epoch 1 (et 24.978s); loss 10.966707915782928; val_loss 13.232076256275176 
epoch 2 (et 50.869s); loss 9.768241425593693; val_loss 13.657580713828406 
epoch 3 (et 77.683s); loss 9.32043460090955; val_loss 14.688283260265987 
epoch 4 (et 104.97s); loss 9.03209651239713; val_loss 14.34907786846161 
epoch 5 (et 132.582s); loss 8.806416927099228; val_loss 15.24020012597243 
epoch 6 (et 160.423s); loss 8.200136995206277; val_loss 15.790215057531993 
epoch 7 (et 188.024s); loss 8.049029206037522; val_loss 16.077600409984587 
epoch 8 (et 215.576s); loss 7.9369755210280415; val_loss 16.931223546266555 
epoch 9 (et 244.299s); loss 7.5863761794964475; val_loss 16.63576378206412 
epoch 10 (et 274.769s); loss 7.310401489719749; val_loss 17.459217384854952 
epoch 11 (et 302.868s); loss 7.239708832174539; val_loss 17.60306052863598 
epoch 12 (et 330.801s); loss 7.106974678054452; val_loss 17.62764854311943 
epoch 13 (et 358.694s); loss 6.970003026058277; val_loss 18.111902755300203 
epoch 14 (et 386.401s); loss 6.955012789654235; val_loss 17.959747621317703 
epoch 15 (et 414.231s); loss 6.7192963342145084; val_loss 18.891190117895604 
